Author,Title,Year,Type of publication,Type of publication venue,Study design,Methodology,Learning_context,Region,Age,L1,L2,Educational_level,L2_proficiency,L2_proficiency_justification,L2_learning_experience,Sampling,VR_setting,HMD_type,VR_content_type,VR_software,VR_learning_activities,VR_treatment_length_total_min,Number_of_VR_sessions,Length_of_each_VR_session_min,VR_treatment_provider,Control_treatment,Linguistic_outcome,Socio-emotional outcome,VR_Mean_Pre,VR_SD_Pre,VR_Mean_Post,VR_SD_Post,VR_N,C_Mean_Pre,C_SD_Pre,C_Mean_Post,C_SD_Post,C_N,Hedge's_ g (combined),Variance,ES_reported,ES_type,ES_value
Chen,Effects of technology-enhanced language learning on reducing EFL learners’ public speaking anxiety,2022,Journal,Computer Assisted Language Learning,Between-group,Mixed,Foreign language,Taiwan,Not reported/Range,Not reported,English,University,Mixed,Self-reported,Not reported,Random,Classroom,Not reported,Computer-generated,VR adapted for LL,Self-directed,150,3,Not reported,Teacher,Traditional,Mixed,Anxiety,114.18,14.8,99.45,18.83,11,102.45,27.14,99.73,30.1,11,,,1,3,0
Chen & Liao,Effects of Panoramic Image Virtual Reality on the Workplace English Learning Performance of Vocational High School Students,2022,Journal,Journal of Educational Computing Research,Between-group,Quantitative,Foreign language,Taiwan,Not reported/Range,Not reported,English,High school,Mixed,Other,Not reported,Not reported,Classroom,Smartphone-based,360° images and computer-generated,VR adapted for LL,Cooperative,150,Not reported,Not reported,Teacher,Multimedia,Mixed,Satisfaction,NA,NA,4.75,0.455,53,NA,NA,3.35,0.405,53,,,0,NA,NA
Chen & Liao ,Effects of Panoramic Image Virtual Reality on the Workplace English Learning Performance of Vocational High School Students,2022,Journal,Journal of Educational Computing Research,Between-group,Quantitative,Foreign language,Taiwan,Not reported/Range,Not reported,English,High school,Mixed,Other,Not reported,Not reported,Classroom,Smartphone-based,360° images and computer-generated,VR adapted for LL,Cooperative,150,Not reported,Not reported,Teacher,Multimedia,Mixed,Motivation,3.01,8.43,3.41,6.03,53,2.89,6.72,3.33,4.91,53,,,0,NA,NA
Chen et al. ,"Virtual reality in problem-based learning contexts: Effects on the problem-solving performance, vocabulary acquisition and motivation of English language learners",2021,Journal,Journal of Computer Assisted Learning,Between-group,Mixed,Foreign language,Taiwan,Not reported/Range,Not reported,English,University,Intermediate,Standardized,Not reported,Not reported,Classroom,Smartphone-based,360° videos and computer-generated ,VR adapted for LL,Teacher-centered,Not reported,Not reported,Not reported,Teacher,Traditional,Vocabulary,Attitude,NA,NA,4.44,0.85,42,NA,NA,3.98,0.99,42,,,1,3,0.06
Chen et al. ,"Virtual reality in problem-based learning contexts: Effects on the problem-solving performance, vocabulary acquisition and motivation of English language learners",2021,Journal,Journal of Computer Assisted Learning,Between-group,Mixed,Foreign language,Taiwan,Not reported/Range,Not reported,English,University,Intermediate,Standardized,Not reported,Not reported,Classroom,Smartphone-based,360° videos and computer-generated ,VR adapted for LL,Teacher-centered,Not reported,Not reported,Not reported,Teacher,Traditional,Vocabulary,Anxiety,NA,NA,4.29,0.79,42,NA,NA,4.13,0.94,42,,,1,3,0.07
Chen et al. ,"Virtual reality in problem-based learning contexts: Effects on the problem-solving performance, vocabulary acquisition and motivation of English language learners",2021,Journal,Journal of Computer Assisted Learning,Between-group,Mixed,Foreign language,Taiwan,Not reported/Range,Not reported,English,University,Intermediate,Standardized,Not reported,Not reported,Classroom,Smartphone-based,360° videos and computer-generated ,VR adapted for LL,Teacher-centered,Not reported,Not reported,Not reported,Teacher,Traditional,Vocabulary,Motivation,,,,,42,,,,,42,0.39425,0.017211766,,,
Ding ,"The impact of high-immersion virtual reality on
EFL learners’ foreign language speaking anxiety:
A mixed-method approach",2024,Journal,ReCALL,Between-group,Mixed,Foreign language,China,Not reported/Range,Not reported,English,University,Mixed,Self-reported,Not reported,Not reported,Classroom,Standalone,Computer-generated,Custom-made VR,Cooperative,337.5,9,37.5,Researcher,Traditional,Mixed,Anxiety,89.34,14.51,89.91,15.79,35,89.46,15.32,89.2,19.89,35,,,0,NA,NA
Ding ,"The impact of high-immersion virtual reality on
EFL learners’ foreign language speaking anxiety:
A mixed-method approach",2024,Journal,ReCALL,Between-group,Mixed,Foreign language,China,Not reported/Range,Not reported,English,University,Mixed,Self-reported,Not reported,Not reported,Classroom,Standalone,Computer-generated,Custom-made VR,Cooperative,337.5,9,37.5,Researcher,Traditional,Mixed,Anxiety,89.34,15.39,90.57,18.06,35,89.74,14.15,90.94,15.09,35,,,0,NA,NA
Huang et al. ,Learning to be a writer: A spherical video-based virtual reality approach to supporting descriptive article writing in high school Chinese courses,2020,Journal,British Journal of Educational Technology,Between-group,Mixed,Foreign language,Taiwan,17,Not reported,English,High school,Not reported,Not reported,Not reported,Not reported,Not reported,Smartphone-based,360° images and computer-generated ,VR adapted for LL,Self-directed,Not reported,2,Not reported,Teacher,Multimedia,Writing,Self-efficacy,NA,NA,3.73,0.66,30,NA,NA,3.06,0.71,35,,,1,3,0.15
"Hung, Chen et al. ",Virtual reality is not always a cure-all: evidences from a quasiexperiment of EFL business speaking courses,2023,Journal,Interactive Learning Environments,Between-group,Mixed,Foreign language,Taiwan,19.5,Chinese,English,University,Not reported,Not reported,Not reported,Not reported,Classroom,Smartphone-based,360° images and computer-generated ,Custom-made VR,Self-directed,Not reported,2,Not reported,Researcher,Multimedia,Speaking,Anxiety,NA,NA,3.09,0.73,25,NA,NA,3.02,0.83,15,,,0,NA,NA
